,index,name,Initialized,Started,Finished,FoundationFinished,TurbineStart,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Gulf of Maine Draft WEA 3,157800,161611.13332182227,178419.096595221,178419.096595221,161611.13332182227,2041-01-01 00:00:00,2041-06-08 20:00:00,2041-06-08 20:00:00,2043-05-10 04:00:00,2043-05-10 04:00:00,semisub,800,ME,salem,1424,False,2042-01-01 00:00:00
1,1,Hypothetical Gulf of Maine Draft WEA 4,157800,157800.0,174158.26642800524,174158.26642800524,157800.0,2041-01-01 00:00:00,2041-01-01 00:00:00,2041-01-01 00:00:00,2042-11-13 15:00:00,2042-11-13 15:00:00,semisub,800,NH,searsport_2,1424,False,2042-01-01 00:00:00
2,2,Hypothetical Gulf of Maine Draft WEA 2,157800,157800.0,174158.26642800524,174158.26642800524,157800.0,2041-01-01 00:00:00,2041-01-01 00:00:00,2041-01-01 00:00:00,2042-11-13 15:00:00,2042-11-13 15:00:00,semisub,800,ME,searsport_1,1424,False,2042-01-01 00:00:00
3,3,Hypothetical Central Atlantic Draft WEA 6,149016,156209.73168126642,172612.00295065928,172612.00295065928,156209.73168126642,2040-01-01 00:00:00,2040-10-26 18:00:00,2040-10-26 18:00:00,2042-09-10 05:00:00,2042-09-10 05:00:00,semisub,800,MD,tradepoint_2,1428,False,2041-01-01 00:00:00
4,4,Hypothetical NY Bight Floating 1,149016,149016.0,169609.3258748187,169609.3258748187,149016.0,2040-01-01 00:00:00,2040-01-01 00:00:00,2040-01-01 00:00:00,2042-05-08 02:00:00,2042-05-08 02:00:00,semisub,800,NY,sbmt,1800,False,2041-01-01 00:00:00
5,5,Hypothetical NE Floating 3,149016,149016.0,166059.72606132933,166059.72606132933,149016.0,2040-01-01 00:00:00,2040-01-01 00:00:00,2040-01-01 00:00:00,2041-12-11 04:00:00,2041-12-11 04:00:00,semisub,800,RI,new_london,1500,False,2041-01-01 00:00:00
6,6,Hypothetical Central Atlantic Draft WEA 2,140256,153917.7793164453,162302.68520609612,162302.68520609612,155594.76049437546,2039-01-01 00:00:00,2040-07-23 06:00:00,2040-10-01 03:00:00,2041-07-07 15:00:00,2041-07-07 15:00:00,monopile,40,DE,tradepoint_1,1273,True,2040-01-01 00:00:00
7,7,Hypothetical NE Floating 1,140256,140917.56666091114,161611.13332182227,161611.13332182227,140917.56666091114,2039-01-01 00:00:00,2039-01-28 14:00:00,2039-01-28 14:00:00,2041-06-08 20:00:00,2041-06-08 20:00:00,semisub,800,CT,salem,1800,False,2040-01-01 00:00:00
8,8,Hypothetical Central Atlantic Draft WEA 3,140256,140256.0,156672.16159365154,156672.16159365154,140256.0,2039-01-01 00:00:00,2039-01-01 00:00:00,2039-01-01 00:00:00,2040-11-15 01:00:00,2040-11-15 01:00:00,semisub,800,NC,portsmouth_2,1428,False,2040-01-01 00:00:00
9,9,Hypothetical Gulf of Maine Draft WEA 1,140256,140256.0,156484.76642800524,156484.76642800524,140256.0,2039-01-01 00:00:00,2039-01-01 00:00:00,2039-01-01 00:00:00,2040-11-07 05:00:00,2040-11-07 05:00:00,semisub,800,ME,searsport_2,1424,False,2040-01-01 00:00:00
